name,email,phone,regions,vehicle_types,notes
Eagle Auto Transport,dispatch@eagleautotransport.com,713-555-0101,"TX,LA,OK,AR,NM","sedan,SUV,truck",Specializes in Texas corridor; overnight relay available
Cross Country Carriers,ops@crosscountrycarriers.com,800-555-0102,"TX,FL,GA,SC,NC,VA","sedan,SUV,motorcycle",Southeast to Gulf Coast specialist
Lone Star Haulers,booking@lonestarhaulers.com,214-555-0103,"TX,OK,KS,MO","sedan,SUV,truck,motorcycle",Dallas-based; flatbed available for trucks
Gulf Coast Auto Movers,info@gulfcoastautomovers.com,504-555-0104,"TX,LA,MS,AL,FL","sedan,SUV,boat",New Orleans hub; enclosed optional
Midwest Express Transport,dispatch@midwestexpress.com,312-555-0105,"IL,IN,OH,MI,WI,MN","sedan,SUV,truck",Chicago-based; great Midwest coverage
Rocky Mountain Carriers,quote@rockymtncarriers.com,303-555-0106,"CO,UT,WY,MT,ID","sedan,SUV,truck,motorcycle",Denver hub; mountain route specialists
Pacific Coast Auto,shipping@pacificcoastauto.com,310-555-0107,"CA,OR,WA,NV","sedan,SUV,motorcycle,boat",LA-based; California corridor daily runs
Desert Southwest Movers,ops@desertsouthwestmovers.com,602-555-0108,"AZ,NM,NV,CA","sedan,SUV,truck","Phoenix hub; handle oversized loads"
Atlantic Auto Lines,dispatch@atlanticautolines.com,305-555-0109,"FL,GA,SC,NC,VA,MD,DE,NJ,NY","sedan,SUV,boat",Miami-based; full East Coast coverage
Great Plains Transport,booking@greatplainstransport.com,402-555-0110,"NE,KS,IA,SD,ND,MN","sedan,SUV,truck",Omaha hub; agricultural regions
Northeast Auto Carriers,info@northeastautocarriers.com,617-555-0111,"NY,NJ,CT,MA,RI,VT,NH,ME","sedan,SUV,motorcycle",Boston-based; New England specialists
Southern Star Transport,dispatch@southernstartransport.com,404-555-0112,"GA,AL,MS,TN,SC","sedan,SUV,truck",Atlanta hub; reliable Southeast network
Bluegrass Auto Movers,quote@bluegrassautomovers.com,502-555-0113,"KY,TN,IN,OH,WV","sedan,SUV","Louisville hub; mid-Atlantic corridor"
Heartland Haulers,ops@heartlandhaulers.com,816-555-0114,"MO,KS,IA,NE,AR","sedan,SUV,truck,motorcycle",Kansas City hub; central US
Cascade Transport Services,dispatch@cascadetransport.com,503-555-0115,"WA,OR,ID,MT","sedan,SUV,truck",Portland-based; Pacific Northwest
Sunbelt Auto Carriers,info@sunbeltautocarriers.com,480-555-0116,"AZ,CA,NV,UT,NM,TX","sedan,SUV,motorcycle",Tempe-based; Southwest sun corridor
Bayou State Movers,booking@bayoustatemovers.com,225-555-0117,"LA,MS,AL,AR,TX","sedan,SUV,boat",Baton Rouge hub; Gulf region
Appalachian Auto Transport,dispatch@appalachianautotransport.com,304-555-0118,"WV,VA,KY,TN,NC,PA","sedan,SUV,truck",Charleston WV hub; mountain specialist
High Plains Carriers,ops@highplainscarriers.com,307-555-0119,"WY,CO,SD,NE,MT","sedan,truck,motorcycle",Cheyenne hub; open country hauling
Peach State Transport,quote@peachstatetransport.com,678-555-0120,"GA,FL,SC,AL,TN","sedan,SUV,boat",Atlanta-based; known for enclosed transport
Lone Oak Logistics,dispatch@loneoaklogistics.com,469-555-0121,"TX,OK,AR,LA","sedan,SUV,truck,motorcycle",Fort Worth hub; reliable Texas-centric
Copper State Carriers,info@copperstatecarriers.com,520-555-0122,"AZ,NM,CO,UT","sedan,SUV,truck",Tucson hub; Southwest desert routes
Liberty Auto Lines,booking@libertyautolines.com,732-555-0123,"NJ,NY,PA,DE,MD,CT","sedan,SUV,motorcycle",Newark hub; tri-state area
River City Movers,dispatch@rivercitymovers.com,901-555-0124,"TN,MS,AR,MO,KY","sedan,SUV,truck",Memphis hub; Mississippi River corridor
Tidewater Transport,ops@tidewatertransport.com,757-555-0125,"VA,NC,MD,DE","sedan,SUV,boat",Norfolk hub; coastal Virginia/Carolina
Golden State Auto Movers,quote@goldenstateautomovers.com,916-555-0126,"CA,NV,AZ","sedan,SUV,motorcycle,boat",Sacramento-based; California valley runs
Windy City Carriers,dispatch@windycitycarriers.com,773-555-0127,"IL,WI,IN,MI","sedan,SUV,truck",Chicago-based; Great Lakes region
Magnolia Transport Co,info@magnoliatransportco.com,601-555-0128,"MS,AL,TN,AR,LA","sedan,SUV,truck",Jackson MS hub; deep South corridor
Iron Horse Auto Haulers,booking@ironhorseautohaulers.com,817-555-0129,"TX,NM,CO,OK","sedan,SUV,truck,motorcycle",Fort Worth hub; large vehicle specialist
National Bridge Transport,dispatch@nationalbridgetransport.com,888-555-0130,"TX,CA,FL,NY,IL,GA","sedan,SUV,truck,motorcycle,boat",Multi-hub national carrier; any route
